start;end;description
802;802;ESKIMO
803;803;INUPIK
803;803;Inuit
804;804;SAINT LAWRENCE ISLAND YUPIK
805;805;YUPIK
806;806;ALGONQUIAN
807;807;ARAPAHO
808;808;ATSINA
808;808;Gros Ventre
809;809;BLACKFOOT
810;810;CHEYENNE
811;811;CREE
812;812;DELAWARE
812;812;Lenni-Lenape
813;813;FOX
813;813;Sac
814;814;KICKAPOO
815;815;MENOMINI
816;816;FRENCH CREE
816;816;Metis
817;817;MIAMI
818;818;MICMAC
819;819;OJIBWA
819;819;Chippewa
820;820;OTTAWA
821;821;PASSAMAQUODDY
821;821;Malecite
822;822;PENOBSCOT
823;823;ABNAKI
824;824;POTAWATOMI
825;825;SHAWNEE
826;826;WIYOT
827;827;YUROK
828;828;KUTENAI
829;829;MAKAH
830;830;KWAKIUTL
830;830;Quileute
831;832;NOOTKA
833;833;LOWER CHEHALIS
834;834;UPPER CHEHALIS
834;834;Chehalis
834;834;Satsop
835;835;CLALLAM
836;836;COEUR D'ALENE
836;836;Skitsamish
837;837;COLUMBIA
837;837;Chelan
837;837;Wenatchee
838;838;COWLITZ
839;839;SALISH
839;839;Flathead
840;840;NOOTSACK
841;841;OKANOGAN
842;842;PUGET SOUND SALISH
842;842;Duwamish
842;842;Nisqualli
842;842;Puyallup
842;842;Skagit
842;842;Snohomish
842;842;Suquamish
843;843;QUINAULT
843;843;Queets
844;844;TILLAMOOK
845;845;TWANA
846;846;HAIDA
847;847;ATHAPASCAN
848;848;AHTENA
849;849;HAN
850;850;INGALIT
851;851;KOYUKON
852;852;KUCHIN
853;853;UPPER KUSKOKWIM
854;854;TANAINA
855;855;TANANA
855;855;Minto
856;856;TANACROSS
857;857;UPPER TANANA
857;857;Nabesna
857;857;Tetlin
858;858;TUTCHONE
859;859;CHASTA COSTA
859;859;Chetco
859;859;Coquille
859;859;Smith River Athapascan
860;860;HUPA
861;861;OTHER ATHAPASCAN-EYAK LANGUAGES
861;861;Cahto
861;861;Mattole
861;861;Wailaki
862;862;APACHE
863;863;KIOWA
864;864;NAVAHO
865;865;EYAK
866;866;TLINGIT
866;866;Chilkat
866;866;Sitka
866;866;Tongass
866;866;Yakutat
867;867;MOUNTAIN MAIDU
867;867;Maidu
868;868;NORTHWEST MAIDU
868;868;Concow
869;869;SOUTHERN MAIDU
869;869;Nisenan
870;870;COAST MIWOK
870;870;Bodega
870;870;Marin
871;871;PLAINS MIWOK
872;872;SIERRA MIWOK
872;872;Miwok
873;873;NOMLAKI
873;873;Tehama
874;874;PATWIN
874;874;Colouse
874;874;Suisun
875;875;WINTUN
876;876;FOOTHILL NORTH YOKUTS
877;877;TACHI
878;878;SANTIAM
878;878;Calapooya
878;878;Wapatu
879;879;SIUSLAW
879;879;Coos
879;879;Lower Umpqua
880;880;KLAMATH
880;880;Modoc
881;881;NEZ PERCE
882;882;SAHAPTIAN
882;882;Celilo
882;882;Klikitat
882;882;Palouse
882;882;Tenino
882;882;Umatilla
882;882;Warm Springs
882;882;Yakima
883;883;UPPER CHINOOK
883;883;Chinook
883;883;Clackamas
883;883;Multnomah
