start;end;description
118;118;MORDOVIAN
119;119;VOYTAK
120;121;GRUZIIA
120;121;Gruzinets
122;123;GERMAN FROM RUSSIA
122;122;GERMAN FROM RUSSIA
123;123;VOLGA
123;123;Black Sea German
123;123;Volhynian German
124;124;ROM
124;124;Boyash
124;124;Cali
124;124;Dom
124;124;Gitanos
124;124;Gypsy
124;124;Kalderash
124;124;Luri
124;124;Manouche
124;124;Nat
124;124;Romnichal
124;124;Senti
124;124;Xoraxaya
125;126;HUNGARIAN
125;125;HUNGARIAN
125;125;Hungary
125;125;Szekler
126;126;MAGYAR
127;127;KALMYK
127;127;Kalmuck
128;128;LATVIAN
128;128;Latvia
128;128;Lettish
129;129;LITHUANIAN
129;129;Jmoud
129;129;Lithuania
130;130;MACEDONIAN
130;130;Macedonia
130;130;Slavophone
131;131;MONTENEGRIN
131;131;Orna Gora
132;141;NORTH CAUCASIAN
132;132;NORTH CAUCASIAN
132;132;Abkhazian
132;132;Adyge
132;132;Avar
132;132;Caucasus Mountains
132;132;Chechen
132;132;Daghestan
132;132;Darghinian
132;132;Gortsy
132;132;Ingush
132;132;Kabardinian
132;132;Lezghian
132;132;Tavlintsy
133;139;Kumyk
133;133;NORTH CAUCASIAN TURKIC
133;133;Adzharian
133;133;Balkar
133;133;Cherkess
133;133;Circassian
133;133;Karachay
140;141;OSSETIAN
142;143;POLISH
142;142;POLISH
142;142;Gorali
142;142;Masurian
142;142;Poland
142;142;Polonia
142;142;Polska
143;143;KASHUBIAN
144;147;ROMANIAN
144;144;ROMANIAN
144;144;Romania
144;144;Transylvania
145;145;BESSARABIAN
145;145;Dobruja
146;146;MOLDAVIAN
147;147;WALLACHIAN
147;147;Vlach
148;151;RUSSIAN
148;149;Russia
148;148;RUSSIAN
148;148;Black Russian
148;148;Great Russian
148;148;Red Russian
148;148;Rossiya
150;151;MUSCOVITE
152;152;SERBIAN
152;152;Serb
153;153;SLOVAK
153;153;Slovakian
153;153;Slovjak
154;155;SLOVENE
154;154;SLOVENE
154;154;Slovenc
154;154;Slovenian
154;154;Slovenski
155;155;SORBIAN/WEND
155;155;Lusatian Serb
155;155;Sorb
155;155;Wend
155;155;Wendish
156;163;SOVIET TURKIC
156;156;SOVIET TURKIC
156;156;Soviet Turk
157;157;BASHKIR
158;158;CHUVASH
159;159;GAGAUZ
160;160;MESKNETIAN
161;162;TUVINIAN
163;163;YAKUT
164;164;SOVIET UNION
164;164;Union of Soviet Socialist Republics
165;167;TATAR
165;166;Volga Tatar
165;165;TATAR
165;165;Crimean Tatar
165;165;Kazan Tatar
165;165;Nogay Tatar
165;165;Polish Tatar
167;167;SOVIET CENTRAL ASIA
167;167;Kurile Islander
167;167;Sakhalin Islander
167;167;Siberian
