start;end;description
316;324;Information Clerks
316;316;Interviewers
317;317;Hotel clerks
318;318;Transportation ticket and reservation agents
319;322;Receptionists
323;324;Information clerks, n.e.c.
325;336;Records Processing Occupations, Except Financial
325;325;Classified-ad clerks
326;326;Correspondence clerks
327;327;Order clerks
328;328;Personnel clerks, except payroll and timekeeping
329;334;Library clerks
335;335;File clerks
336;336;Records clerks
337;344;Financial Records Processing Occupations
337;337;Bookkeepers, accounting, and auditing clerks
338;338;Payroll and timekeeping clerks
339;342;Billing clerks
343;343;Cost and rate clerks
344;344;Billing, posting, and calculating machine operators
345;347;Duplicating, Mail and Other Office Machine Operators
345;345;Duplicating machine operators
346;346;Mail preparing and paper handling machine operators
347;347;Office machine operators, n.e.c.
348;353;Communications Equipment Operators
348;352;Telephone operators
353;353;Communications equipment operators, n.e.c.
354;358;Mail and Message Distributing Occupations
354;354;Postal clerks, except mail carriers
355;355;Mail carriers, postal service
356;356;Mail clerks, except postal service
357;358;Messengers
359;374;Material Recording, Scheduling, and Distributing Clerks
359;362;Dispatchers
363;363;Production coordinators
364;364;Traffic, shipping, and receiving clerks
365;365;Stock and inventory clerks
366;366;Meter readers
368;372;Weighers, measurers, checkers, and samplers
373;373;Expediters
374;374;Material recording, scheduling, and distributing clerks, n.e.c.
375;378;Adjusters and Investigators
375;375;Insurance adjusters, examiners, and investigators
376;376;Investigators and adjusters, except insurance
377;377;Eligibility clerks, social welfare
378;378;Bill and account collectors
379;402;Miscellaneous Administrative Support Occupations
379;382;General office clerks
383;383;Bank tellers
384;384;Proofreaders
385;385;Data-entry keyers
386;386;Statistical clerks
387;388;Teachers' aides
389;402;Administrative support occupations, n.e.c.
403;472;SERVICE OCCUPATIONS
403;412;Private Household Occupations
403;403;Launderers and ironers
404;404;Cooks, private household
405;405;Housekeepers and butlers
406;406;Child care workers, private household
407;412;Private household cleaners and servants
413;432;Protective Service Occupations
413;415;Supervisors, Protective Service Occupations
413;413;Supervisors, firefighting and fire prevention occupations
414;414;Supervisors, police and detectives
415;415;Supervisors, guards
416;417;Firefighting and Fire Prevention Occupations
416;416;Fire inspection and fire prevention occupations
417;417;Firefighting occupations
418;424;Police and Detectives
418;422;Police and detectives, public service
423;423;Sheriffs, bailiffs, and other law enforcement officers
424;424;Correctional institution officers
425;432;Guards
425;425;Crossing guards
426;426;Guards and police, except public service
427;432;Protective service occupations, n.e.c.
433;472;Service Occupations, Except Protective and Household
433;444;Food Preparation and Service Occupations
433;433;Supervisors, food preparation and service occupations
434;434;Bartenders
435;435;Waiters and waitresses
436;437;Cooks
438;438;Food counter, fountain and related occupations
439;442;Kitchen workers, food preparation '/waitresses' assistants
443;443;Waiters'/waitresses' assistants
444;444;Miscellaneous food preparation occupations
445;447;Health Service Occupations
445;445;Dental assistants
446;446;Health aides, except nursing
447;447;Nursing aides, orderlies, and attendants
448;455;Cleaning and Building Service Occupations, Except Household
448;448;Supervisors, cleaning and building service workers
449;452;Maids and housemen
453;453;Janitors and cleaners
454;454;Elevator operators
455;455;Pest control occupations
456;472;Personal Service Occupations
456;456;Supervisors, personal service occupations
457;457;Barbers
458;458;Hairdressers and cosmetologists
459;460;Attendants, amusement and recreation facilities 's assistants (part 5264)
461;461;Guides
462;462;Ushers
463;463;Public transportation attendants
464;464;Baggage porters and bellhops
465;465;Welfare service aides
466;466;Family child care providers
467;467;Early childhood teacher's assistants
468;468;Child care workers, n.e.c.
469;472;Personal service occupations, n.e.c.
473;476;Farm Operators and Managers
473;473;Farmers, except horticultural
474;474;Horticultural specialty farmers
475;475;Managers, farms, except horticultural
476;476;Managers, horticultural specialty farms
477;493;Other Agricultural and Related Occupations
477;484;Farm Occupations, Except Managerial
477;478;Supervisors, farm workers
479;482;Farm workers
483;483;Marine life cultivation workers
484;484;Nursery workers
485;493;Related Agricultural Occupations
485;485;Supervisors, related agricultural occupations
486;486;Groundskeepers and gardeners, except farm
487;487;Animal caretakers, except farm
488;488;Graders and sorters, agricultural products
489;493;Inspectors, agricultural products
494;496;Forestry and Logging Occupations
494;494;Supervisors, forestry and logging workers
495;495;Forestry workers, except logging
496;496;Timber cutting and logging occupations
